filename,explanation
visMost97.png,"This is a simple infographic showing world population distribution by continent using a color-coded map with just 5 data points. The data density is very low with only 5 categories and numbers. The visual encoding is straightforward—continent shapes colored distinctly with labeled values. Text annotation is minimal with a title and category labels. The color scheme uses basic primary colors (red, blue, yellow, green, light blue) with high contrast against a white background. The layout is clean and uncluttered with ample white space, resulting in very low cognitive load."
SciVisJ.1025.11.png,"This is a scatterplot with 16 data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with direct text labels. The data density is moderate with some clustering in the lower portion, and the visual encoding is straightforward (position + color). The text annotations are moderately dense with each point labeled, but the overall layout is clean and interpretable. The domain is technical (memory vs. time performance benchmarking) but the chart structure itself is simple, keeping cognitive load moderate."
whoO06_2.png,"This is a grouped/stacked horizontal bar chart with 19 categories and 3 income-level segments per bar, creating moderate data density. The text annotation is substantial with 19 category labels, axis labels, a detailed title, and a legend. The color encoding uses three distinct colors (dark blue, light purple, orange) which is straightforward but applied across many bars. The domain requires some familiarity with DALYs and public health metrics, adding modest domain complexity. Overall, the chart is well-organized but contains a significant amount of information across its 19 risk factors, pushing it above a simple bar chart but remaining a standard visualization type."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries and two categories (Deceased and Living organ donors), representing moderate data density. The visual encoding is straightforward with two-color stacked bars, and the text annotation includes country labels, axis values, a legend, title, and source note — a moderate amount. The layout is clean and well-organized, keeping aesthetic clutter low, but the number of bars (20 countries) and the need to compare both segments across countries adds some cognitive load. The color scheme is simple (two colors) and the domain is accessible, keeping domain_schema and color_symbol relatively low."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home Purchase) over 12 years, which is a straightforward visualization. The data density is moderate with about 24 bars total, and the visual encoding is simple (two-color grouped bars). Text annotations include a clear title, subtitle, axis labels, callout annotations for the final year's values, and source attribution, contributing moderate text density. The color scheme is minimal (green and orange), the layout is clean and well-organized, and cognitive load is low as the chart is easy to interpret. This is slightly more complex than a simple single-series bar chart due to the grouping and annotations, but remains a standard, accessible visualization."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
whoQ44_4.png,"This stacked area chart has moderate complexity driven by 8 overlapping country layers with a brown/tan color scheme that requires careful differentiation. The data density is moderate with 12 time points across 8 categories, and the legend with 8 entries adds text annotation load. The color_symbol dimension is notable as the similar brown/beige tones make distinguishing individual countries challenging, increasing cognitive load somewhat, though the overall chart type and layout are standard and well-organized."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial-style visualization showing the relationship between three categorical variables (Class, Sex, Survived) with flowing colored bands connecting categories. The visual encoding is moderately complex with overlapping translucent bands creating intersections that require some cognitive effort to trace. The color palette uses two main hues (teal and green) with transparency effects. Data density is moderate with only 3 variables and 2 categories each, but the crossing flow patterns add visual complexity. Text annotation is minimal with just category labels. The cognitive load is moderate as users need to follow the flow bands to understand proportional relationships between categories."
InfoVisJ.1558.11(3).png,"This scatter-like visualization shows three color-coded clusters (red, green, blue) of elongated marks within a dashed border. There is no text, axes, labels, or annotations, keeping text_annotation very low. The data density is moderate with perhaps 100+ points, and the visual encoding uses color and orientation of marks but in a simple spatial layout. The lack of any textual context, axes, or legend increases ambiguity but the overall visual impression remains relatively simple and clean, with moderate cognitive load due to the absence of interpretive scaffolding."
wsj603.png,"This is a dual-line time series chart with moderate complexity. The two lines (10-year Treasury note and 10-year TIPS) show detailed, volatile price movements over ~4 years, contributing to moderate data density. The text annotations are fairly substantial with a long subtitle, multiple callout labels with specific values, and source attributions. The color encoding is simple (gold and red lines with a yellow shaded spread area), and the domain is financial but not highly specialized. The annotations on the right side with spread measurements add some cognitive load, but the overall layout is clean and the chart type is familiar, keeping complexity at a moderate level."
