filename,explanation
visMost97.png,"This is a simple infographic with a world map showing nationality distribution using only 5 color-coded continent shapes and 5 labeled numbers. The layout is clean with ample white space, minimal text elements, and a straightforward visual encoding that requires little cognitive effort to interpret."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries showing two categories (Deceased and Living organ donors). While the number of data items is moderate, the chart uses a clean layout with clear labels, consistent color coding, and straightforward structure. The dual-color bars add some complexity but the overall design remains relatively simple and readable."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with three income-level segments per bar, creating moderate visual density. The consistent color scheme (three colors) and straightforward layout keep complexity manageable, but the large number of categories and stacked segments require sustained attention to parse individual contributions across income levels."
wsj135.png,"This is a straightforward grouped bar chart with two color-coded categories (refinance and home purchase) over 12 time periods. The layout is clean with minimal gridlines, clear labels, and simple annotations. The visual complexity is relatively low due to the standard chart type and limited number of data series."
SciVisJ.1025.11.png,"This is a scatter plot with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.). While each point has an individual text label adding some visual clutter, the overall layout is straightforward with clear axes, no overlapping elements are severe, and the grid lines are minimal. The moderate number of data points and categorical color encoding keep complexity at a mid-low level."
whoQ44_4.png,"This is a stacked area chart with 8 categories tracked over 12 years. The color palette uses similar brown/tan shades which adds some perceptual difficulty in distinguishing layers, but the overall chart structure is straightforward. The legend, axis labels, and title are clear, and the number of data series is moderate rather than overwhelming."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial diagram with three categorical variables (Class, Sex, Survived) connected by colored flow bands. The overlapping and crossing of the teal and green ribbons creates moderate visual complexity, but the chart has only two categories per variable and limited labels, keeping the overall complexity at a moderate level."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-coded clusters (red, green, blue) containing moderate numbers of data points. The visualization lacks axes, labels, legends, or gridlines, keeping it relatively simple. The scattered dot patterns add some visual density but the overall design is clean with minimal visual elements beyond the dashed border and the data points themselves."
InfoVisJ.619.17.png,"This biplot contains moderate-to-high complexity with numerous scattered data points color-coded by a continuous gradient (calories), overlapping labels, biplot arrows for variables (Fat, Sugar, Sodium, Calories), a regression line with tick marks, dotted reference lines, and named outlier points. The overlapping elements and dual encoding (color + position) increase cognitive demand, though the overall layout remains a single-panel 2D scatter plot."
VisJ.1515.12.png,"The image shows concentric circular rings with a limited color palette of dark green and dark red/brown. The pattern is repetitive and regular with no text, labels, or data elements. While the rings create some visual detail, the overall structure is simple and predictable with low cognitive demand."
wsj603.png,"This is a dual-line time series chart with moderate complexity. It features two intertwined lines with considerable volatility/detail, several annotated callout boxes highlighting specific data points and spreads, and a shaded area between the lines near the end. The overall layout is straightforward with clear labeling, but the dense line fluctuations and multiple annotations add moderate perceptual demand."
VisJ.1499.8.png,"The visualization shows two 3D heart-like mesh surfaces with color gradients (yellow-orange) and wireframe overlays. The right panel adds scattered diamond markers increasing complexity. The grid lines, color mapping, and 3D orientation cubes add moderate detail, but the overall layout is straightforward with only two panels and limited color variation."
v483_n7391_8_f5.png,"This contour/heatmap plot has moderate-to-high complexity with multiple overlapping contour levels spanning a wide color range from pale yellow to deep red, dual axes on both x (k and k/k_F) and y (E and E/E_F) sides, and overlaid line features (cyan curves). The dense contour regions near the diagonal and the intricate nested contour shapes in the central area add perceptual demand, though the overall layout remains a single coherent plot with a clear legend."
VisJ.1197.5(3).png,"This is an extremely dense 3D visualization showing hundreds of overlapping rectangular blocks/buildings rendered in grayscale, creating a highly intricate cityscape-like view. The sheer number of geometric elements, overlapping shadows, varying heights, and lack of clear organizational structure demand significant perceptual effort to parse. The high density of edges and contrast between light and dark surfaces contributes to near-maximum visual complexity."
SciVisJ.2926.1.png,"This scientific visualization displays a highly intricate swirling flow field with multiple overlapping visual encoding layers including volumetric rendering, vector glyphs/arrows, and color-mapped surfaces. The dense distribution of multicolored elements (blue, red, yellow, green) against a dark background creates significant perceptual complexity, with fine-grained details throughout the vortex structure and surrounding field requiring substantial cognitive effort to parse."
SciVisJ.1236.10.png,"This visualization contains a large grid of approximately 54 small heatmap matrices arranged in a 6×9 layout, each displaying intricate pixel-level patterns in purple and green. The sheer number of subplots, combined with the detailed internal structure of each matrix (diagonal patterns, block structures, varying color intensities), creates high perceptual and cognitive demand. The repeated but varying patterns across rows and columns require significant effort to compare and interpret."
