filename,explanation
visMost97.png,"This is a simple infographic showing a world map with continents color-coded and labeled with nationality proportions. It has minimal data density (only 5 data points), a clean uncluttered layout with ample white space, and uses straightforward visual encoding with distinct colors for each continent. The text is sparse and highly legible, and the concept requires no specialized knowledge to interpret."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries and two color-coded categories (Deceased and Living donors), creating moderate data density. The visual encoding is straightforward with a clean layout, clear legend, and legible text labels, but the number of bars and dual-segment comparison across many countries adds some cognitive load beyond a simple bar chart."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factor categories each with 3 income-level segments, creating moderate data density. The extensive y-axis labels and detailed title add significant text load, while the stacked encoding requires some cognitive effort to compare middle segments across bars. However, the clean layout, limited color palette (3 colors), and standard chart type keep complexity from being high."
SciVisJ.1025.11.png,"This is a standard scatter plot with approximately 16 labeled data points encoded in 4 color categories (Dense, Octree, JIT, Opt.). The moderate clustering of points in the 750-900 megabyte range creates some label crowding and overlap, adding to cognitive load. The direct labeling of each point adds textual density, though the overall layout and encoding scheme remain straightforward."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
InfoVisC.133.5(3).png,"This parallel sets/alluvial diagram has moderate complexity with crossing flow ribbons between three categorical variables (Class, Sex, Survived), each with two categories. The overlapping translucent bands in teal and green create visual clutter where flows cross, requiring some cognitive effort to trace individual paths. However, the limited number of categories, minimal text labels, and simple two-color scheme keep complexity moderate."
wsj135.png,"This is a clean grouped bar chart with two color-coded series (refinance and home purchase) across 12 years, totaling about 24 bars. The Wall Street Journal styling is polished with clear annotations and a descriptive subtitle, keeping cognitive load moderate. The two-color encoding is simple and immediately interpretable, though the paired-bar structure and time span add modest complexity beyond a minimal chart."
whoQ44_4.png,"This stacked area chart displays 8 countries over 12 years with a monochromatic brown/beige color palette, making differentiation between layers somewhat challenging. The chart has moderate data density and a lengthy title with an 8-item legend, but the overall layout is clean and the chart type is standard, keeping complexity moderate."
InfoVisJ.1558.11(3).png,"This is a simple scatter/cluster visualization with three color-coded groups (red, green, blue) of elongated marks. There are no axes, labels, legends, or text elements, keeping semantics and cognitive load very low. The moderate number of data points (~150) and three-color encoding add some visual density, but the overall layout is clean and immediately interpretable as clustered groups."
VisJ.1515.12.png,"This visualization shows concentric circular rings with a limited color palette of dark green, olive, and dark red/maroon. While the abstract pattern requires domain knowledge to interpret (possibly an interference or diffraction pattern), the visual itself is relatively simple with no text, labels, axes, or legends. The repetitive, symmetric ring structure and minimal color variety keep the perceptual complexity moderate-low despite the interpretive ambiguity."
wsj603.png,"This is a dual-line time series chart with two detailed/jagged financial series (10-year Treasury note and 10-year TIPS) spanning several years. The annotations with callout boxes, shaded spread area, multi-line descriptive subtitle, and source attributions add moderate text and semantic density. The chart requires some financial domain knowledge but uses a clean layout with a purposeful color scheme, placing it at moderate complexity."
v483_n7391_8_f5.png,"This is a 2D contour/heatmap plot with moderate-to-high complexity. It features dual axes (k and k/k_F; E and E/E_F), a 12-level continuous color scale from white to deep red, dense contour lines especially concentrated in the lower-left and along a diagonal feature, and an overlay blue curve. The specialized physics domain knowledge required and the cognitive load of interpreting the dual-axis system with overlapping contour densities elevate the complexity beyond a standard chart."
VisJ.1499.8.png,"This is a two-panel 3D scientific visualization of cardiac surfaces with color-mapped gradients (yellow to orange), wireframe mesh overlays, and orientation cubes. The right panel adds significant visual complexity with numerous diamond-shaped glyphs scattered across the surface. The specialized domain knowledge required (cardiac perfusion/motion) and 3D rendering with multiple simultaneous encodings increase cognitive load, though the minimal text and clean side-by-side layout keep it from being overly cluttered."
v487_n7406_7_f3.png,"This scientific visualization overlays three simultaneous encodings—a continuous color heatmap (rainbow spectrum for Δz displacement), vector arrows showing displacement direction/magnitude, and contour lines—all on a single 2D cross-section. The data density is high with arrows and contours competing for visual space, particularly in the upper-left region. Interpreting the combined encodings requires moderate domain knowledge and significant cognitive effort to parse the layered information."
SciVisJ.2926.1.png,"This is a dense 3D scientific visualization (likely fluid dynamics or astrophysical simulation) with extremely high data density, multiple overlapping visual encodings including color-mapped surfaces, directional glyphs/spikes, and particle distributions. The rich color palette (blue, red, orange, yellow, green) combined with complex 3D structure and swirling patterns creates high cognitive load, requiring specialized domain knowledge to interpret. Despite minimal text (only label '(a)'), the visual clutter and encoding complexity drive the score high."
SciVisJ.1236.10.png,"This visualization contains approximately 54 small heatmap/matrix panels arranged in a dense 9×6 grid, creating very high data density and visual clutter. Each panel encodes matrix data using a purple-green color scheme with varying intensity patterns, requiring cross-panel comparison that significantly increases cognitive load. The coded column headers (E5U, E5W, E1U, E1W combinations) demand domain knowledge, and the small panel sizes make individual cell-level patterns difficult to discern."
VisJ.1197.5(3).png,"This 3D block/treemap visualization is extremely dense with hundreds of overlapping rectangular elements creating massive visual clutter and occlusion. The 3D perspective makes individual elements nearly impossible to distinguish, driving very high cognitive load. Despite the absence of text, labels, or color variety (grayscale only), the sheer data density, spatial complexity, and perceptual disorder push the complexity score high."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, minimal text (title, axis label, and three category labels), and a single visual encoding (bar height with hatching pattern). The error bars add slight detail but the overall layout is clean and immediately interpretable with very low cognitive load."
InfoVisJ.2699.12.png,"This is a dense network graph with hundreds of nodes and edges creating substantial visual clutter, especially in the central region where many connections overlap. The data density is very high with numerous interconnected clusters spread across the entire canvas, demanding significant cognitive effort to trace individual connections. While the color palette is limited and four annotated subgroups (SG1-SG4) provide some guidance, the overall layout is visually overwhelming with overlapping edges and varying node sizes adding to interpretive complexity."
InfoVisC.211.18.png,"This is a simple bar chart (histogram) showing a classic long-tail distribution with approximately 15-18 bars. It uses a single color (black), has minimal text (partially illegible axis labels), no legend, and a straightforward layout. The low data density, single encoding channel, and simple schema all contribute to very low visual complexity."
SciVisJ.980.12(2).png,"This 3D scientific visualization features dense overlapping streamlines, numerous colored arrow glyphs (blue, red, green, yellow), and 3D isosurfaces within a rectangular domain, creating significant visual clutter. The multi-encoding approach (streamlines, glyphs, surfaces) combined with 3D perspective and specialized domain knowledge requirements (likely fluid dynamics) substantially increase cognitive load. Despite minimal text, the variety of colors, symbols, and overlapping elements make interpretation challenging without expertise."
whoJ44.png,"This is a simple dual-line chart with only two clearly distinguished lines (Total ODA and General budget support), minimal data points across 11 years, and a clean layout. The text elements include a title, axis labels, legend, annotations, and source, but are well-organized and not cluttered. The color scheme is simple with just two shades of blue, and the chart is immediately interpretable with low cognitive load."
InfoVisJ.2402.12(1).png,"This treemap visualization exhibits extreme data density with hundreds of nested rectangular elements, becoming increasingly tiny and indistinguishable toward the bottom. The 3D metallic shading on each cell adds significant visual texture and noise, while the sparse color highlights (green, cyan) amid predominantly gray tones create a cluttered, overwhelming appearance. Text labels are largely illegible due to element size, and the cognitive load required to parse any meaningful structure is very high."
whoQ50_2.png,"This is a standard single-color bar chart with approximately 19 bars sorted by value. The visual encoding is straightforward with a single variable mapped to bar height. The rotated country labels on the x-axis (some quite long, like 'Bolivia (Plurinational State of)') add modest text complexity, but the overall layout is clean and immediately interpretable with minimal cognitive load."
InfoVisC.73.6.png,"This image shows repeated text 'IEEE Information Visualization 2005' arranged along curved lines at decreasing sizes, with red dot markers at endpoints. The visual complexity is low — it contains minimal data encoding, no axes or legends, and limited color variety (green text, red dots, black curves). The layout is relatively simple despite the curved text arrangement, and cognitive load is low as the content is repetitive rather than information-rich."
wsj340.png,"This is a single donut/pie chart with only 6 categories, a clean layout, and a limited color palette (orange, blue, yellow, gray). While there is a moderate amount of text including a title, descriptive paragraph, in-chart labels with percentages, and source attribution, the overall visual encoding is simple and immediately interpretable with low cognitive load."
economist_daily_chart_153.png,"This is a stacked area chart with three categories over a ~30-year time span. It has moderate data density with overlapping area layers that require some effort to distinguish, but the color scheme is cohesive and the layout is clean. The text elements (title, subtitle, legend, axis labels, source) are well-organized and legible, and the overall cognitive load is moderate — straightforward chart type but with some complexity from the stacked overlapping areas and jagged peaks."
VisC.167.11.png,"This is a stacked bar chart with approximately 30 bars each containing 3 color-coded segments, creating moderate data density. The visual encoding is standard and familiar, with a clear legend and axis labels, though the stacked nature adds some cognitive load for decomposing individual components. The color scheme is simple with three distinct colors, and the layout is reasonably clean with gridlines aiding readability."
VASTJ.2908.2.png,"This matrix-style visualization has moderate complexity with 17 row categories and 5 column categories creating roughly 85 cells, each encoded with three shades of blue or gray. While the color encoding is simple (high/medium/low) and the layout is clean and well-organized, the substantial number of text labels and the cognitive effort required to scan and compare patterns across multiple rows and columns drives the complexity upward."
InfoVisJ.1236.13.png,"This dual-map visualization of the Netherlands features a rich color palette with 10+ distinct colors encoding different regions, along with numerical labels on the left cartogram and hundreds of small colored grid squares on the right tile map. The cognitive load is elevated by needing to compare two different cartographic representations and mentally map corresponding regions across both views, with no legend provided to assist interpretation."
