filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
wsj135.png,Grouped bar chart with two categories across 12 years; moderate but not high data volume.,Simple grouped bar chart with two color-coded series; straightforward encoding.,"Title, subtitle, axis labels, source attribution, and two callout annotations with values provide moderate text.",Basic financial/housing topic accessible to general audiences; no specialized knowledge needed.,Two-color scheme (green and orange) with clean distinction; minimal color complexity.,"Well-organized, clean layout typical of professional journalism; low clutter.",Easy to interpret; clear narrative with labeled callouts guiding the reader.,A clean Wall Street Journal grouped bar chart showing refinance vs. home purchase mortgages over 12 years. Professional design with clear annotations makes this low to moderate complexity despite reasonable data volume.
SciVisJ.1025.11.png,About 16 data points spread across a 2D scatterplot; moderate but not dense data content.,Standard scatterplot with colored circles; simple positional encoding with color grouping.,Each point is individually labeled with category and number; moderate text density for the number of points.,Requires understanding of memory/time performance benchmarking concepts (megabytes vs milliseconds).,"Four distinct colors (green, orange, purple, black) used to distinguish data series; clear but moderate variety.",Clean layout with well-spaced points; some label crowding in the center-bottom area but generally orderly.,Fairly straightforward to interpret once color categories are understood; moderate comparison needed across groups.,A labeled scatterplot comparing memory usage (megabytes) versus execution time (ms) for four different methods at varying configurations. The chart is clean and well-organized with moderate complexity driven by individual point labels and four color-coded categories.
visMost97.png,Only 5 data points representing continental population proportions; very sparse data.,Simple color-coded continent shapes with numeric labels; straightforward geographic encoding.,"Title, subtitle, and 5 labeled values with continent names; moderate but simple text.",Basic geographic/demographic concept requiring no specialized knowledge.,"Five distinct bold colors (red, blue, green, yellow, light blue) for continents; simple but effective palette.","Very clean, minimalist layout with ample white space; well-organized and uncluttered.",Immediately interpretable infographic; very low cognitive effort required.,A simple infographic showing world population distribution by continent using color-coded map shapes and large numeric labels. Very clean and minimalist design with low visual complexity.
economist_daily_chart_165.png,20 countries each with two stacked bar segments; moderate data volume but straightforward structure.,Simple stacked horizontal bar chart with two categories; standard encoding with minimal complexity.,"Country labels on left, axis labels on top, legend, title, and source note; moderate text quantity.",Organ donor rates per million population is accessible without specialized knowledge.,Two distinct colors (dark blue and light blue) used consistently; minimal color complexity.,"Well-organized horizontal layout; bars are evenly spaced and clearly separated, though the list is moderately long.",Easy to compare across countries; the stacked bar format requires some effort to parse individual components but is generally intuitive.,"A clean horizontal stacked bar chart showing organ donor rates for 20 countries, split into deceased and living donors. Moderate complexity driven primarily by the number of countries listed, but the encoding and layout are straightforward and accessible."
whoO06_2.png,19 risk factors each with 3 stacked segments represent a moderately high amount of data in a single chart.,Standard stacked horizontal bar chart with position and length encoding; straightforward but with many bars.,"19 category labels on the y-axis, axis labels, a detailed title, and a legend contribute to moderate text density.","Requires understanding of DALYs and public health risk factors, which is moderately specialized.","Three distinct colors (dark blue, light purple, orange) used consistently; limited but clear color palette.",Well-organized descending bar chart with clean layout; moderate density but not cluttered.,Comparisons across 19 categories and 3 income groups require moderate effort but the encoding is intuitive.,"A stacked horizontal bar chart showing 19 health risk factors broken down by 3 income levels. The chart is well-organized but contains a substantial number of categories, resulting in moderate overall visual complexity."
InfoVisC.133.5(3).png,"Moderate data showing flows between three categorical variables (Class, Sex, Survived) with two levels each.",Parallel sets/alluvial diagram with ribbon flows connecting categorical levels; moderately complex encoding.,Minimal text with only variable names and category labels at each level.,Requires understanding of alluvial/parallel sets diagrams to interpret flow proportions between categories.,"Two main colors (teal and green) used to distinguish categories, with overlapping ribbons creating blended hues.","Crossing ribbons create moderate visual clutter, though the layout is structured in three clear horizontal tiers.",Tracing flows across three levels with crossing ribbons requires moderate cognitive effort to parse proportions.,"A parallel sets/alluvial diagram showing the relationship between Class (1st/2nd), Sex (male/female), and Survived (yes/no), likely from the Titanic dataset. The crossing ribbons in two colors create moderate visual complexity, requiring some effort to trace individual flows."
whoQ44_4.png,Eight stacked area layers across 12 time points create moderate data density with overlapping contributions.,Stacked area chart with continuous fill; standard encoding but 8 layers add moderate complexity.,"Title, legend with 8 country names, axis labels, and tick marks provide moderate text volume.",Public health/epidemiological context but the chart type itself is straightforward and accessible.,Eight shades of brown/tan used to distinguish countries; similar hues make differentiation somewhat challenging.,Clean layout with well-organized legend; stacked areas are orderly without excessive clutter.,"Distinguishing 8 similarly-colored layers requires some effort, but the overall trend is readable.","A stacked area chart showing admission numbers for 8 African countries from 2000-2011. The use of similar brown/tan shades for 8 categories adds moderate perceptual difficulty, but the layout is clean and the chart type is standard."
InfoVisJ.619.17.png,Moderate number of data points (~60+) scattered across a 2D projection with some overlap and clustering.,"Combines a biplot with arrows for variable loadings, a regression line with tick marks, color-mapped points, and size variation — multiple encoding channels.","Several text labels for variables (Fat, Sugar, Calories, Sodium), specific data points (Puffed rice, All-Bran), and numeric axis values along the regression line.","This is a PCA biplot with loading arrows and a continuous color legend, requiring understanding of dimensionality reduction and multivariate analysis.","Continuous black-to-orange color gradient mapped to a quantitative variable (50–160 range), with varying point sizes adding another encoding layer.",Moderately cluttered in the center with overlapping points and arrows; the periphery is cleaner but the central region is busy.,"Requires understanding of PCA biplots, interpreting loading arrows, a regression line, color mapping, and point labels simultaneously.","A PCA biplot of cereal nutritional data with loading arrows for Fat, Sugar, Calories, and Sodium, a regression line with numeric markers, and a continuous color scale. The multi-layered encoding and specialized statistical format create moderate-to-high cognitive demand."
InfoVisJ.1558.11(3).png,Moderate number of data points (~100+) scattered across the plot area with some clustering visible.,Simple 2D scatter plot with elliptical/oriented marks encoding position and possibly orientation; relatively straightforward.,"No text labels, axes, titles, or annotations present at all.",Appears to be a clustering or classification scatter plot; requires basic understanding of grouped spatial data.,"Three distinct colors (red, green, blue) used to encode clusters; marks vary in orientation creating some visual variety.",Relatively clean layout within a dashed border; clusters are somewhat separated with moderate overlap at boundaries.,Easy to perceive three color-coded groups; low interpretive demand due to clear spatial separation and color coding.,"A scatter plot showing three color-coded clusters (red, green, blue) of oriented elliptical marks within a dashed border. No text or axes are present, making it visually clean but moderately dense in data points."
wsj603.png,Two time series lines spanning several years with moderate temporal granularity and some highlighted spread regions.,Two line traces with a shaded area between them at the end; standard line chart encoding with callout annotations.,"Title, subtitle paragraph, axis labels, series labels, multiple callout boxes with specific values, and source attribution create moderate text density.","Requires understanding of Treasury yields, TIPS, and inflation expectations—moderate financial domain knowledge.",Limited palette of gold/orange and red lines on green background; callout boxes use blue and red—modest color variety.,"Clean, well-organized Wall Street Journal style layout with clear separation of elements; not cluttered.","Requires comparing two yield series and understanding spread dynamics, but the annotations guide interpretation effectively.","A Wall Street Journal line chart comparing 10-year Treasury note and TIPS yields from 2009-2012, with annotated callouts highlighting the narrowing spread. Moderate complexity driven by financial domain context and annotation density, but clean layout keeps it accessible."
