filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
visMost97.png,Only 5 data points representing continent populations; very sparse data content.,Simple geographic shapes colored by category with numeric labels; straightforward encoding.,"Title, subtitle, and 5 labeled values with continent names; minimal text volume.",Simple world map infographic requiring no specialized knowledge to interpret.,"5 distinct solid colors for continents (red, blue, yellow, green, light blue); simple but distinct palette.","Very clean, spacious layout with ample whitespace; well-organized and uncluttered.",Immediately interpretable; the concept and data are trivially easy to grasp.,"A clean infographic showing world population distribution by continent using a color-coded map with 5 labeled values. Minimal complexity with a simple, spacious design that is instantly understandable."
wsj135.png,Grouped bar chart with two categories across 12 years; moderate but not excessive data volume.,Simple grouped bar chart with two color-coded series; straightforward encoding.,"Title, subtitle paragraph, axis labels, source attribution, and two callout annotations add moderate text volume.",Standard financial/housing market bar chart; no specialized domain knowledge needed beyond basic familiarity.,Two-color scheme (green and orange) with clean differentiation; minimal symbol complexity.,"Clean, well-organized Wall Street Journal infographic with clear visual hierarchy and ample whitespace.",Easy to interpret; the callout annotations help guide the reader to key takeaways immediately.,A clean Wall Street Journal grouped bar chart showing refinance vs. home purchase mortgages over 12 years. The two-color design with callout annotations makes this straightforward and low in visual complexity.
economist_daily_chart_165.png,20 countries each with two stacked bar segments; moderate data volume but straightforward structure.,Simple stacked horizontal bar chart with two categories per bar; standard encoding.,"Country labels on the left, axis labels on top, legend, title, and source note; moderate text quantity.",Simple comparative bar chart requiring no specialized domain knowledge.,Two-color scheme (dark blue and light blue) with clean differentiation; minimal color complexity.,Well-organized horizontal bars with consistent spacing; clean layout with mild density from 20 rows.,Easy to interpret stacked bars comparing deceased vs. living donors across countries; low cognitive demand.,"A horizontal stacked bar chart comparing organ donor rates (deceased vs. living) across 20 countries. Clean design with moderate data density but straightforward interpretation, resulting in moderate-low overall complexity."
whoO06_2.png,19 categories each with 3 stacked segments yield a moderate-to-high amount of data points to compare.,Standard stacked horizontal bar chart with a single encoding type; straightforward layout.,"19 category labels on the y-axis plus a detailed title, axis label, and legend create substantial text volume.","Requires understanding of DALYs and public health risk factors, moderate domain specificity.","Three distinct colors (dark blue, light purple, orange) used consistently; simple color scheme.","Well-organized, sorted by total bar length; clean layout with no overlapping elements.",Comparing stacked segments across 19 categories requires moderate attention but the sorted layout aids comprehension.,"A stacked horizontal bar chart showing 19 health risk factors broken down by three income levels. The chart is well-organized and sorted, but the number of categories and stacked segments creates moderate visual complexity. The domain-specific content (DALYs) adds some interpretive demand."
SciVisJ.1025.11.png,About 16 data points spread across the plot; moderate but not dense data content.,Standard scatterplot with colored dots and direct labels; straightforward encoding.,"Each point is individually labeled with method name and parameter, creating moderate text density.",Computing performance benchmark context (memory vs. time); requires some domain familiarity but axes are clear.,"Four distinct colors (green, orange, dark purple, black) categorize four methods; simple but effective color use.",Clean layout with well-spaced points; some label crowding in the 800 megabyte region but generally orderly.,Comparison across 4 methods with varying parameters is moderately demanding but the layout is intuitive.,"A labeled scatterplot comparing four computational methods (Dense, Octree, JIT, Opt.) across time and memory dimensions. The chart is clean with moderate data density and color-coded categories, making it relatively easy to interpret."
InfoVisC.133.5(3).png,"Three categorical variables (Class, Sex, Survived) with 2 levels each; moderate data but not dense.",Alluvial/parallel sets diagram with crossing ribbons of varying width representing flow proportions; moderately complex encoding.,Minimal text: just three variable names and their category labels.,Parallel sets/alluvial diagram requires understanding of flow-based proportional representations across categorical variables.,Two main colors (teal and green) used to distinguish classes; limited but functional color palette.,"Crossing ribbons create visual overlap and some clutter in the middle sections, but overall layout is structured.",Requires tracing flows across three levels and interpreting proportions from ribbon widths; moderate cognitive effort.,"A parallel sets/alluvial diagram showing relationships between Class, Sex, and Survived variables from what appears to be the Titanic dataset. The crossing colored ribbons create moderate visual complexity, but the limited number of categories keeps overall complexity manageable."
whoQ44_4.png,Eight stacked area layers across 12 years; moderate data density with some overlap making individual contributions hard to distinguish.,Standard stacked area chart with a single encoding type; straightforward spatial layout.,"Title, legend with 8 country names, axis labels and tick marks; moderate text volume.",Public health/epidemiological context but presented in a standard chart form requiring no specialized knowledge.,Eight shades of brown/beige used for different countries; similar hues make differentiation somewhat challenging.,Clean layout with well-organized legend and axes; not cluttered despite multiple layers.,"Distinguishing 8 similarly-colored layers requires some effort, but the overall chart type is familiar and interpretable.","A stacked area chart showing admission numbers for 8 African countries from 2000-2011. The use of similar brown/beige tones for 8 categories adds moderate complexity, but the overall layout is clean and the chart type is familiar."
InfoVisJ.1558.11(3).png,"Moderate number of scattered data points (~100+) across three color-coded clusters, but with ample white space.",Simple scatter-like plot with elliptical marks varying in orientation; straightforward spatial encoding.,"No text, labels, axes, or annotations present whatsoever.",Appears to be a clustering or classification result; relatively intuitive without deep domain knowledge.,"Three distinct colors (red, green, blue) used to differentiate clusters; marks have slight orientation variation.",Relatively clean layout with dashed border; clusters are somewhat separated but with some overlap.,Easy to perceive three color-coded groups; low interpretive demand with no axes or labels to parse.,"A simple scatter-style visualization showing three color-coded clusters (red, green, blue) of elliptical marks within a dashed border. No text or annotations are present, keeping complexity low despite a moderate number of data points."
InfoVisJ.619.17.png,"Moderate number of scatter points (~60-70) spread across the plot with some overlap, plus directional arrows and a regression line.","Biplot combining scatter points with varying sizes and colors, directional arrows for variable loadings, a trend line with tick marks, and a continuous color legend.","Several text labels for variable names (Fat, Sugar, Sodium, Calories), specific data points (Puffed rice, All-Bran), and numerical scale values along the line and legend.","This is a PCA biplot requiring understanding of principal component projections, loading arrows, and multivariate relationships among cereal nutritional attributes.",Continuous black-to-orange color scale encoding a quantitative variable; points vary in both size and color; moderate visual variety.,"Moderately cluttered in the center with overlapping points and arrows, but the overall layout is reasonably organized with clear spacing at the periphery.","Requires integrating multiple encodings (color, size, position, arrows) and understanding PCA biplot interpretation; moderate-to-high cognitive demand.","A PCA biplot of cereal data showing scatter points colored by a continuous scale (50-160), with loading arrows for Fat, Sugar, Sodium, and Calories. The visualization requires multivariate statistical literacy and involves moderate data density with several simultaneous visual encodings."
wsj603.png,Two time series lines over ~4 years with moderate temporal granularity showing detailed price movements.,Two line series with a shaded area indicating spread; standard line chart encoding with callout annotations.,"Title, subtitle paragraph, multiple callout labels with values, source citations, and axis labels create moderate text density.",Requires basic financial knowledge of Treasury yields and TIPS but is a standard financial journalism chart.,Two distinct colors (gold and red) for the lines with colored callout boxes; limited but effective palette.,Clean Wall Street Journal style layout; well-organized with clear visual hierarchy despite multiple annotations.,"Moderate interpretation needed to understand spread narrowing concept, but annotations guide the reader effectively.","A Wall Street Journal line chart comparing 10-year Treasury note and TIPS yields from 2009-2012. The chart is well-designed with clear annotations highlighting the narrowing spread, creating moderate complexity typical of professional financial journalism visualizations."
