filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
wsj135.png,Grouped bar chart with two categories across 12 years; moderate but not dense data.,Simple grouped bar chart with two color-coded series; straightforward encoding.,"Title, subtitle, axis labels, source attribution, and two callout annotations provide moderate text volume.",Basic financial/housing market data requiring no specialized knowledge to interpret.,Two distinct colors (green and orange) used consistently; simple and clear color scheme.,"Clean, well-organized WSJ-style layout with clear spacing and minimal clutter.","Easy to interpret with clear title, annotations, and familiar bar chart format.","A clean Wall Street Journal grouped bar chart showing refinance vs. home purchase mortgages over 12 years. The visualization uses two colors with callout annotations, maintaining low visual complexity and high readability."
SciVisJ.1025.11.png,About 16 data points spread across the plot; moderate but not dense data content.,Standard scatterplot with colored dots; straightforward positional encoding.,"Each data point has a text label, plus axis labels; moderate text density with some crowding in the lower-middle region.",Requires understanding of computational benchmarking (memory vs. time tradeoffs for different data structures).,"Four distinct colors (green, orange, dark purple, black) distinguish four categories; simple but effective.",Clean layout with well-spaced points; some label crowding in the center but generally orderly.,Straightforward scatterplot comparison; easy to identify groups and trends with labeled points.,"A scatterplot comparing memory usage (megabytes) vs. execution time (ms) for four data structure implementations at different sizes. Clean and well-labeled with moderate complexity, primarily due to the number of labeled points and categorical color encoding."
visMost97.png,Only 5 data points representing continental population proportions; very sparse data.,Simple geographic shapes (continent silhouettes) with color encoding and numerical labels; straightforward.,"Title, subtitle, and 5 labeled numbers with continent names; moderate but minimal text.",No specialized knowledge needed; simple proportional representation of world population.,"Five distinct solid colors (red, blue, green, yellow, light blue) for continents; simple but effective palette.","Very clean, spacious layout with ample white space; well-organized and uncluttered.",Immediately interpretable infographic; very low cognitive effort required.,"A simple infographic showing world population distribution by continent using color-coded map silhouettes with numerical labels. Very clean, minimal design with low visual complexity and immediate readability."
economist_daily_chart_165.png,20 countries each with two stacked bar segments; moderate data volume but straightforward structure.,Simple stacked horizontal bar chart with two categories; minimal encoding variety.,"Country labels on the left, axis labels on top, title, subtitle, legend, and source note; moderate text quantity.",Basic public health/policy topic; no specialized knowledge required to interpret.,Only two colors (dark teal and light blue) used consistently; minimal color complexity.,"Clean, well-organized layout with clear spacing between bars; low visual clutter.",Easy to read and compare across countries; stacked bars are intuitive.,"A clean horizontal stacked bar chart showing organ donor rates (deceased vs. living) across 20 countries. The chart is well-organized with minimal visual complexity, using only two colors and a straightforward layout."
whoO06_2.png,19 risk factors each with 3 stacked segments produce a moderate-to-high amount of data points to parse.,Standard stacked horizontal bar chart with straightforward positional encoding.,"Long descriptive title, 19 category labels, axis labels, and a legend contribute substantial text volume.","Requires familiarity with DALYs and global health risk factors, but the chart form itself is standard.","Three-color scheme (dark blue, light purple, orange) applied consistently; simple and effective.",Well-organized descending layout with clear spacing; minimal clutter despite many categories.,Comparison across 3 income levels for 19 factors requires some effort but the sorted layout aids interpretation.,A stacked horizontal bar chart showing 19 health risk factors broken down by 3 income levels. The chart is well-organized but moderately complex due to the number of categories and the need to compare stacked segments across rows.
InfoVisC.133.5(3).png,Three categorical variables with 2 levels each; moderate data shown through proportional flow ribbons.,Parallel sets/alluvial diagram with crossing ribbons showing proportional flows between categories; moderately complex encoding.,Minimal text with just three variable names and six category labels.,Parallel sets diagram requires understanding of flow/proportion relationships but uses familiar Titanic dataset categories.,Two main colors (teal and green) used to distinguish classes with some transparency for overlapping ribbons.,"Crossing ribbons create moderate visual clutter, especially in the lower section where flows intersect.",Requires tracing flows across three levels with crossing paths; moderate interpretation effort.,"A parallel sets (alluvial) diagram showing the relationship between Class, Sex, and Survived for what appears to be Titanic data. The crossing ribbons in two colors create moderate visual complexity, requiring flow-tracing to interpret proportional relationships."
whoQ44_4.png,Eight stacked area layers across 12 time points; moderate data density with overlapping areas.,Standard stacked area chart with a single encoding type; moderately complex due to 8 layers.,"Title, axis labels, tick marks, and an 8-item legend provide moderate text volume.",Public health/epidemiology context but the chart type itself is straightforward and accessible.,Eight shades of brown/tan used for different countries; moderate color range but limited hue diversity.,Clean layout with well-organized legend and clear axes; not cluttered despite multiple layers.,"Distinguishing 8 similar brown-toned layers requires some effort, but the overall pattern is readable.","A stacked area chart showing admission numbers for 8 African countries from 2000-2011 using a brown color palette. Moderate complexity due to the number of stacked layers with similar colors, though the layout is clean and well-organized."
InfoVisJ.619.17.png,Moderate number of data points (~50-60) scattered across a 2D biplot with some overlap and clustering.,"Combines scatter points with varying size and color, directional arrows (loading vectors), a regression line with tick marks, and a continuous color legend — multiple encoding channels.","Several text labels including variable names (Fat, Sugar, Calories, Sodium), specific data point labels (Puffed rice, All-Bran with Extra Fiber), and numeric axis tick values.",A PCA biplot with loading arrows requires familiarity with multivariate statistics and dimensionality reduction concepts.,"A continuous black-to-orange color gradient encodes a quantitative variable, with varying point sizes adding a second visual channel.","Moderate clutter with overlapping points in the center, arrows competing with labels, and dotted reference lines adding visual noise.","Interpreting the biplot requires understanding PCA loadings, the color scale mapping, size encoding, and the regression line simultaneously.","A PCA biplot showing cereal data with loading arrows for Fat, Sugar, Calories, and Sodium, colored by a continuous scale (50-160). The visualization combines multiple encoding channels and requires statistical knowledge, resulting in moderate visual complexity."
InfoVisJ.1558.11(3).png,Moderate number of scattered data points (~100-150) spread across the canvas with visible cluster separation.,Simple scatter plot with elliptical brush-stroke marks varying in orientation and size; relatively basic encoding.,"No text, labels, axes, titles, or annotations present whatsoever.",Appears to be a clustering or classification result visualization; minimal domain expertise needed.,"Three distinct colors (red, green, blue) used to encode clusters; clean and simple color scheme.",Fairly clean layout with well-separated clusters inside a dashed border; moderate spread but not cluttered.,Easy to interpret — three color-coded groups with spatial separation; low cognitive demand.,"A simple scatter-style visualization showing three color-coded clusters (red, green, blue) of elliptical marks within a dashed border. No text or axes are present, making it visually clean with low overall complexity."
wsj603.png,Two time series lines spanning several years with moderate temporal granularity and some highlighted spread areas.,Two line traces with a shaded area between them at the end; standard time-series encoding with callout annotations.,"Title, subtitle paragraph, line labels, multiple callout boxes with values, source citations — moderately heavy text.","Requires understanding of Treasury yields, TIPS, and inflation expectations — moderate financial domain knowledge.",Two distinct line colors (gold and red) with color-coded callout boxes; limited but purposeful palette.,"Clean, well-organized Wall Street Journal style layout with good whitespace and clear visual hierarchy.",Straightforward dual-line comparison with annotated spread; moderate interpretation effort for the financial context.,"A Wall Street Journal-style dual time-series chart comparing 10-year Treasury note and TIPS yields from 2009 to 2012, with annotated spread callouts. The design is clean and professional with moderate text density and accessible financial content."
