filename,explanation
visMost97.png,"This is a simple infographic showing a world map with 5 color-coded continents and their corresponding population numbers. The design is clean with minimal elements, large readable text, ample white space, and only a single variable (nationality distribution) displayed. The visual encoding is straightforward with no dense data or multiple layers of information."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home purchase) over 12 years, totaling about 24 bars. While it has more elements than a simple bar chart, the design is clean with clear color encoding (green and orange), readable labels, and informative annotations. The moderate number of data points and dual-category grouping push it slightly above a simple bar chart but it remains straightforward to interpret."
whoO06_2.png,"This is a horizontal stacked bar chart with 19 risk factor categories and 3 income-level color encodings, resulting in roughly 57 data segments. The numerous labeled categories and stacked structure add moderate complexity, though the consistent layout and clear legend keep it reasonably interpretable."
economist_daily_chart_165.png,"This is a horizontal stacked/grouped bar chart with 20 countries and two color-encoded categories (Deceased and Living donors). While the chart uses a straightforward design with clear labels, the relatively large number of countries and dual-bar encoding creates moderate visual density and comparison demands, pushing it slightly above a simple bar chart."
SciVisJ.1025.11.png,"This is a standard scatterplot with approximately 16 labeled data points encoded by 4 color categories (Dense, Octree, JIT, Opt.). While the individual labels add some visual clutter, especially in the crowded lower-right region, the chart uses a single panel with straightforward axes, keeping overall complexity moderate."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
whoQ44_4.png,"This is a stacked area chart with 8 country layers over 12 time points, using a brown/tan color palette. The multiple overlapping layers and legend with 8 entries add moderate complexity, but the single-panel format and coherent color scheme keep it relatively readable."
InfoVisC.133.5(3).png,"This is a parallel sets visualization with three categorical variables (Class, Sex, Survived) connected by colored ribbon flows. The crossing bands between levels create moderate visual intricacy, but the chart has only 2 categories per variable and uses just two colors, keeping overall complexity moderate."
VisJ.1515.12.png,"This visualization shows concentric circular rings with alternating dark green and dark red/maroon bands, likely representing a scientific field or interference pattern. While the smooth gradient transitions between rings add some visual intricacy, the overall pattern is symmetric, repetitive, and lacks any labels, axes, legends, or multi-panel complexity, keeping the cognitive demand relatively low."
InfoVisJ.1558.11(3).png,"This is a simple scatter-style visualization with three color-coded clusters (red, green, blue) of elongated marks inside a dashed border. There are no axes, labels, legends, or gridlines, keeping the structural complexity low. The moderate number of individual marks (~150+) with varying orientations adds some perceptual detail but overall the visual encoding is minimal."
v483_n7391_8_f5.png,"This is a single-panel contour/heatmap plot with moderate complexity. It features multiple nested contour levels with a continuous color gradient, dual axes (k and k/k_F, E and E/E_F), overlaid boundary lines in cyan, and a detailed color legend with 12 discrete levels. The contour structure shows intricate nested patterns and sharp features along the diagonal, adding perceptual demand beyond a simple heatmap."
VisJ.1499.8.png,"This is a two-panel 3D scientific visualization showing color-mapped heart surfaces with grid overlays. The right panel adds glyph markers across the surface, increasing visual detail. The color gradient encoding, wireframe mesh, and 3D perspective add moderate complexity, but the overall layout is straightforward with only two views and limited annotations."
wsj603.png,"This is a dual-line time series chart with moderately high-frequency data from 2009-2012, featuring multiple annotated callout boxes, a shaded spread area between the two lines, color-coded labels, and a descriptive subtitle. The annotations and volatile line patterns add complexity beyond a basic line chart, but it remains a single-panel visualization with only two data series."
SciVisJ.1236.10.png,"This visualization contains a 6×9 grid of 54 small multiple heatmaps/correlation matrices, each with intricate internal patterns using purple and green color encoding. The sheer number of panels, the dense pixel-level detail within each matrix, and the need to compare patterns across multiple conditions (E5U, E5W, E1U, E1W combinations) create very high perceptual and cognitive demand."
v487_n7406_7_f3.png,"This single-panel visualization combines multiple overlapping visual encodings: a continuous rainbow color map for displacement values, a dense vector/arrow field indicating displacement directions, and contour lines. The superposition of these three layers creates significant perceptual complexity despite being a single view, with particularly dense regions near the rod and varying arrow densities throughout."
InfoVisJ.2699.12.png,"This is a dense network graph with hundreds of nodes and numerous interconnecting edges spread across the entire canvas. Multiple clusters and subgroups are visible with varying node sizes (indicated by pink halos), and four specific subgroups are annotated with red circles. The high density of edges, overlapping structures, and distributed layout create significant perceptual and cognitive demand."
VisJ.1197.5(3).png,"This is an extremely dense 3D visualization (likely a code city or 3D treemap) with hundreds of tightly packed rectangular blocks of varying heights rendered in grayscale. The perspective view creates heavy occlusion and visual clutter, with no labels, legends, or clear organizational hierarchy visible, making it very perceptually demanding to parse individual elements or patterns."
SciVisJ.2926.1.png,"This is a highly intricate single-panel scientific visualization featuring a complex 3D volumetric rendering with swirling vortex structures, multiple color encodings (blue, red, orange, yellow, green), and numerous glyph-like vector elements protruding from the surface. The dense layering of visual information and rich textural detail create substantial perceptual demand, though it remains a single cohesive view rather than a multi-panel system."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, hatched fill patterns, error bars, and clear axis labels. The layout is clean and minimalistic with very few data elements, making it one of the least complex visualization types."
whoQ50_2.png,"This is a single bar chart with approximately 20 bars showing percentage change across Latin American countries. While it has more elements than a minimal bar chart, the design is clean with a single color, clear axis labels, and straightforward layout. The rotated country labels add some visual density but the overall structure remains a standard sorted bar chart."
InfoVisC.211.18.png,"This is a simple histogram/bar chart showing a right-skewed distribution with approximately 15-18 bars. It uses a single color (black), has minimal labeling (though labels are partially illegible), and presents a straightforward single-variable distribution with no additional encodings or complexity layers."
SciVisJ.980.12(2).png,"This 3D flow visualization contains multiple overlapping streamlines forming vortex patterns, numerous colored directional glyphs (arrows) scattered throughout, and 3D ellipsoidal objects at vortex centers. The multi-encoding nature (color, shape, orientation, 3D depth) combined with the density of overlapping elements creates substantial perceptual complexity, though the overall layout with four repeating vortex structures provides some organizational clarity."
InfoVisJ.2402.12(1).png,"This is an extremely dense treemap visualization containing hundreds of nested rectangles at varying scales. The lower portion becomes increasingly granular with barely distinguishable micro-elements. While the color palette is limited (grays, greens, cyans), the sheer quantity of elements, hierarchical nesting, and the dramatic range in element sizes from large blocks to microscopic cells create very high perceptual and cognitive demand."
whoJ44.png,"This is a simple dual-line chart with only two series (Total ODA and General budget support) over 11 time points. The layout is clean with clear labels, a straightforward legend, and minimal visual clutter. The added text annotations and title provide context but don't significantly increase perceptual complexity."
wsj340.png,"This is a single donut/pie chart with 6 segments, clearly labeled with percentages and a central annotation. The design is clean with a simple color palette and accompanying text. It has minimal perceptual complexity, consistent with a basic pie chart with few elements."
InfoVisC.73.6.png,"This image shows repeated text 'IEEE Information Visualization 2005' rendered along curved paths at decreasing sizes, with red dot markers at endpoints. It is not a traditional data visualization but rather a demonstration of text rendering on curves. The visual elements are simple and repetitive with minimal encoding complexity, though the curved text and varying sizes add some perceptual demand."
VisC.167.11.png,"This is a stacked bar chart with approximately 30 bars, each containing three color-coded segments (Index search, Label regions, Build geometry). While it has a moderate number of data elements and uses stacked encoding which adds some perceptual demand, it remains a single-panel chart with a clear legend, standard axes, and gridlines, keeping complexity at a moderate level."
economist_daily_chart_153.png,"This is a stacked area chart with three categories spanning about 30 years of data. While it has moderate complexity from the overlapping stacked areas with jagged peaks and multiple color encodings, it remains a single-panel visualization with a clear legend and straightforward axes. The temporal density and layered areas push it slightly above a simple chart but it's not highly complex."
