(500) Data Density / Image Clutter,(436) Visual Encoding Clarity,(466) Semantics / Text Legibility,(496) Schema,"(530) Color, Symbol, and Texture Details",(337) Aesthetics Uncertainty,(552) Immediacy / Cognitive Load
(95) color,(71) color,(82) color,(71) color,(186) color,(33) color,(104) understand
(60) information,(53) shape,(42) word,(35) understand,(50) shape,(19) hard,(97) color
(50) lot,(45) line,(40) understand,(27) information,(45) understand,(17) understand,(52) information
(48) understand,(33) differ,(38) text,(26) shape,(43) differ,(14) differ,(48) hard
(45) detail,(30) understand,(37) information,(25) line,(40) information,(14) read,(45) easy
(42) line,(25) hard,(33) differ,(25) easy,(35) lot,(13) clear,(44) differ
(42) shape,(25) information,(33) line,(23) clear,(34) line,(13) information,(41) difficult
(41) differ,(21) read,(33) number,(22) number,(32) number,(13) line,(40) read
(37) datum,(20) size,(30) lot,(22) differ,(31) detail,(12) confuse,(38) line
(30) point,(20) detail,(30) shape,(21) graph,(28) hard,(10) shape,(34) shape
(30) number,(20) number,(27) axis,(21) detail,(28) text,(10) text,(34) clear
(27) hard,(20) easy,(25) label,(20) lot,(25) datum,(9) easy,(32) lot
(27) element,(19) clear,(25) easy,(19) point,(24) clear,(9) visual,(31) detail
(26) text,(19) point,(23) datum,(18) visual,(24) easy,(9) difficult,(30) datum
(22) easy,(18) lot,(22) clear,(18) familiar,(24) point,(9) number,(28) point
(22) word,(18) text,(22) read,(18) datum,(22) contrast,(9) point,(26) image
(20) small,(17) element,(21) legend,(17) hard,(21) difficult,(9) graph,(25) number
(20) difficult,(15) difficult,(20) small,(17) map,(20) element,(9) datum,(23) visual
(19) contrast,(14) dot,(20) hard,(16) axis,(20) word,(9) lot,(22) word
(18) read,(14) datum,(19) detail,(16) label,(19) read,(8) detail,(22) text
(17) visual,(13) word,(19) point,(16) text,(19) visual,(7) look,(20) time
(17) image,(13) axis,(17) element,(15) pattern,(18) size,(7) word,(18) know
(16) size,(12) small,(17) difficult,(15) difficult,(18) axis,(7) label,(17) confuse
(15) axis,(11) confuse,(14) size,(15) image,(17) small,(6) eye,(17) element
(14) multiple,(11) visual,(14) visual,(15) word,(16) complex,(6) contrast,(17) small
(14) dot,(10) complex,(13) title,(14) read,(15) confuse,(6) write,(16) label
(13) label,(10) image,(13) write,(12) chart,(14) dot,(5) intuitive,(16) simple
(13) clear,(9) sense,(12) map,(11) process,(14) image,(5) know,(16) process
(13) item,(9) legend,(12) graph,(11) element,(13) label,(5) multiple,(16) interpret
(13) data,(9) box,(11) confuse,(11) confuse,(13) shade,(5) element,(15) axis
(12) graph,(8) circle,(11) chart,(10) dot,(12) look,(5) small,(15) mean
(12) process,(8) contrast,(11) contrast,(10) legend,(12) legend,(5) need,(15) graph
(12) time,(8) multiple,(11) font,(10) simple,(12) map,(5) image,(14) complex
(12) confuse,(8) simple,(11) multiple,(10) small,(11) pattern,(4) discern,(14) easily
(12) legend,(8) follow,(10) key,(10) sense,(11) box,(4) choice,(13) sense
(11) chart,(8) label,(10) image,(9) easily,(11) mean,(4) time,(13) chart
(10) write,(7) graph,(9) familiar,(9) look,(11) multiple,(4) mean,(13) data
(9) variable,(7) item,(9) easily,(8) size,(11) represent,(4) simple,(12) size
(9) go,(7) bar,(9) dot,(8) discern,(11) process,(4) chart,(12) look
(9) box,(7) variation,(9) mean,(8) graphic,(10) chart,(4) circle,(12) multiple
(9) discern,(7) context,(9) know,(8) data,(10) circle,(4) similar,(12) need
(8) map,(7) know,(8) complex,(8) like,(10) black,(4) black,(11) dot
(8) simple,(7) process,(8) simple,(8) complex,(10) white,(4) info,(11) write
(8) complex,(7) scale,(8) data,(8) circle,(10) variable,(4) font,(11) long
(8) white,(6) data,(8) shade,(8) know,(9) font,(4) data,(11) map
(8) font,(6) represent,(8) variable,(7) context,(9) familiar,(4) random,(11) pattern
(8) long,(6) similar,(7) look,(7) represent,(9) similar,(4) easily,(10) similar
(8) circle,(6) complicated,(7) interpret,(7) bar,(9) variation,(4) axis,(10) glance
(8) overlap,(6) glance,(7) scale,(7) contrast,(9) item,(4) messy,(10) familiar
(8) high,(6) shade,(7) graphic,(7) value,(9) data,(3) use,(10) represent
(7) similar,(6) variable,(7) value,(7) multiple,(9) simple,(3) lack,(10) key
(7) need,(6) discern,(7) readable,(7) time,(9) graph,(3) key,(10) bar
(7) info,(6) chart,(7) description,(7) complicated,(8) know,(3) relate,(10) follow
(7) little,(5) map,(7) letter,(7) recognizable,(8) graphic,(3) item,(10) contrast
(7) shade,(5) show,(7) process,(6) mean,(8) time,(3) dark,(10) legend
(7) key,(5) pattern,(6) context,(6) interpret,(8) discern,(3) go,(10) item
(6) know,(5) long,(6) measure,(6) unfamiliar,(8) write,(3) pattern,(9) graphic
(6) mean,(5) familiar,(6) glance,(6) write,(8) lack,(3) glance,(9) lack
(6) look,(5) order,(6) discern,(6) code,(8) variety,(3) size,(9) discern
(6) graphic,(5) square,(6) pattern,(6) country,(8) key,(3) process,(9) go
(6) spread,(4) vary,(6) go,(6) glance,(7) follow,(3) mix,(9) font
(6) variety,(4) time,(6) show,(6) variable,(7) space,(3) high,(9) context
(6) structure,(4) graphic,(6) long,(6) long,(7) mix,(3) picture,(8) variable
(6) space,(4) curve,(6) time,(6) box,(7) scale,(3) separate,(8) idea
(6) clutter,(4) interpret,(6) sense,(6) variation,(7) long,(3) explanation,(8) show
(6) black,(4) font,(6) box,(6) similar,(6) scheme,(3) letter,(7) separate
(6) sense,(4) easily,(6) code,(6) title,(6) code,(3) convey,(7) variation
(6) scale,(4) look,(6) complicated,(6) follow,(6) structure,(3) structure,(7) eye
(6) title,(4) key,(6) recognizable,(5) structure,(6) need,(3) density,(7) shade
